FACILITY,FIELD_FAB,ALL_LOTS,DATETIME,TEXT,PREDICTION
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:02:30.754689+01:00,MVOUT_Context_Lot_Scan_Go 0.0006802082061767 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:02:33.57812+01:00,RULE_LTS1 0.0008130073547363 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:02:38.950779+01:00,Lot_Next_Oper_Scan_Go 0.0008370876312255 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:02:41.678109+01:00,Start_BACK_TM_Scan_Go 0.0008528232574462 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:02:45.928557+01:00,RTD_WIPPER_TRANSPORT_DEST 0.0009288787841796 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:02:53.098296+01:00,Lot_Next_Oper_Scan_Go 0.0009260177612304 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:02:57.895667+01:00,AMA_RETICLE_POD_LOADING 0.0006470680236816 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:02:59.774709+01:00,RULE_LTS1 0.195375919342041 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:02:54.923374+01:00,Start_PHOTO_ISL_Scan_Go 0.0008270740509033 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:03:03.575302+01:00,RULE_LTS1 0.0012001991271972 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:03:09.866609+01:00,Get_context_etch_MS_E 0.0009000301361083 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:03:12.461267+01:00,Model_Context_Scan_Go 0.0012109279632568 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:03:15.839915+01:00,RULE_LTS1 0.0007870197296142 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:03:21.279736+01:00,Model_Context_Scan_Go 0.0008940696716308 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:03:31.472905+01:00,RULE_LTS1 0.0007572174072265 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:03:31.473841+01:00,RULE_LTS1 0.0002720355987548 CTNSX00364,0
